Original Sentence,Sentiment
项籍者，下相人也，字羽。,1
初起时，年二十四。,1
其季父项梁，梁父即楚将项燕，为秦将王翦所戮者也。,1
项氏世世为楚将，封于项，故姓项氏。,1
项籍少时，学书不成，去学剑，又不成。,0
项梁怒之。,0
籍曰：书足以记名姓而已。,1
剑一人敌，不足学，学万人敌。,0
于是项梁乃教籍兵法，籍大喜，略知其意，又不肯竟学。,0
项梁尝有栎阳逮，乃请蕲狱掾曹咎书抵栎阳狱掾司马欣，以故事得已。,0
项梁杀人，与籍避仇于吴中。,0
吴中贤士大夫皆出项梁下。,1
每吴中有大繇役及丧，项梁常为主办，阴以兵法部勒宾客及子弟，以是知其能。,1
秦始皇帝游会稽，渡浙江，梁与籍俱观。,1
籍曰：彼可取而代也。,2
梁掩其口，曰：毋妄言，族矣！,0
梁以此奇籍。,2
籍长八尺余，力能扛鼎，才气过人，虽吴中子弟皆已惮籍矣。,2
秦二世元年七月，陈涉等起大泽中。,1
其九月，会稽守通谓梁曰：江西皆反，此亦天亡秦之时也。,0
吾闻先即制人，后则为人所制。,1
吾欲发兵，使公及桓楚将。,1
是时桓楚亡在泽中。,0
梁曰：桓楚亡，人莫知其处，独籍知之耳。,0
梁乃出，诫籍持剑居外待。,1
梁复入，与守坐，曰：请召籍，使受命召桓楚。,1
守曰：诺。,1
梁召籍入。,1
须臾，梁眴籍曰：可行矣！,2
于是籍遂拔剑斩守头。,0
项梁持守头，佩其印绶。,1
门下大惊，扰乱，籍所击杀数十百人。,0
一府中皆慑伏，莫敢起。,0
梁乃召故所知豪吏，谕以所为起大事，遂举吴中兵。,1
使人收下县，得精兵八千人。,1
梁部署吴中豪杰为校尉、候、司马。,1
有一人不得用，自言于梁。,0
梁曰：前时某丧使公主某事，不能办，以此不任用公。,0
众仍皆伏。,2
于是梁为会稽守，籍为裨将，徇下县。,1
广陵人召平于是为陈王徇广陵，未能下。,0
闻陈王败走，秦兵又且至，乃渡江矫陈王命，拜梁为楚王上柱国。,0
曰：江东已定，急引兵西击秦。,1
项梁乃以八千人渡江而西。,1
闻陈婴已下东阳，使使欲与连和俱西。,1
陈婴者，故东阳令史，居县中，素信谨，称为长者。,2
东阳少年杀其令，相聚数千人，欲置长，无適用，乃请陈婴。,1
婴谢不能，遂强立婴为长，县中从者得二万人。,1
少年欲立婴便为王，异军苍头特起。,1
陈婴母谓婴曰：自我为汝家妇，未尝闻汝先古之有贵者。,0
今暴得大名，不祥。,0
不如有所属，事成犹得封侯，事败易以亡，非世所指名也。,1
婴乃不敢为王。,1
谓其军吏曰：项氏世世将家，有名于楚。,2
今欲举大事，将非其人，不可。,1
我倚名族，亡秦必矣。,1
于是众从其言，以兵属项梁。,1
项梁渡淮，黥布、蒲将军亦以兵属焉。,2
凡六七万人，军下邳。,1
当是时，秦嘉已立景驹为楚王，军彭城东，欲距项梁。,1
项梁谓军吏曰：陈王先首事，战不利，未闻所在。,0
今秦嘉倍陈王而立景驹，逆无道。,0
乃进兵击秦嘉。,2
秦嘉军败走，追之至胡陵。,0
嘉还战一日，嘉死，军降。,2
景驹走死梁地。,0
项梁已并秦嘉军，军胡陵，将引军而西。,1
章邯军至栗，项梁使别将朱鸡石、余樊君与战。,1
余樊君死，朱鸡石军败，亡走胡陵。,0
项梁乃引兵入薛，诛鸡石。,0
项梁前使项羽别攻襄城，襄城坚守不下。,1
已拔，皆坑之。,0
还报项梁。,0
项梁闻陈王定死，召诸别将会薛计事。,1
此时沛公亦起沛，往焉。,2
居鄛人范增，年七十，素居家，好奇计，往说项梁曰：陈胜败固当。,1
夫秦灭六国，楚最无罪。,0
自怀王入秦不反，楚人怜之至今，故楚南公曰‘楚虽三户，亡秦必楚’也。,1
今陈胜首事，不立楚后而自立，其势不长。,0
今君起江东，楚蜂午之将皆争附君者，以君世世楚将，为能复立楚之后也。,2
于是项梁然其言，乃求楚怀王孙心民间，为人牧羊，立以为楚怀王，从民所望也。,2
陈婴为楚上柱国，封五县，与怀王都盱台。,1
项梁自号为武信君。,1
居数月，引兵攻亢父，与齐田荣、司马龙且军救东阿，大破秦军于东阿。,1
田荣即引兵归，逐其王假。,1
假亡走楚。,0
假相田角亡走赵。,0
角弟田间故齐将，居赵不敢归。,0
田荣立田儋子市为齐王。,1
项梁已破东阿下军，遂追秦军。,2
数使使趣齐兵，欲与俱西。,1
田荣曰：楚杀田假，赵杀田角、田间，乃发兵。,1
项梁曰：田假为与国之王，穷来从我，不忍杀之。,1
赵亦不杀田角、田间以市于齐。,1
齐遂不肯发兵助楚。,1
项梁使沛公及项羽别攻城阳，屠之。,0
西破秦军濮阳东，秦兵收入濮阳。,2
沛公、项羽乃攻定陶。,1
定陶未下，去，西略地至雍丘，大破秦军，斩李由。,1
还攻外黄，外黄未下。,0
项梁起东阿，西，比至定陶，再破秦军，项羽等又斩李由，益轻秦，有骄色。,0
宋义乃谏项梁曰：战胜而将骄卒惰者败。,0
今卒少惰矣，秦兵日益，臣为君畏之。,0
项梁弗听。,0
乃使宋义使于齐。,1
道遇齐使者高陵君显，曰：公将见武信君乎？,1
曰：然。,1
曰：臣论武信君军必败。,0
公徐行即免死，疾行则及祸。,1
秦果悉起兵益章邯，击楚军，大破之定陶，项梁死。,1
沛公、项羽去外黄攻陈留，陈留坚守不能下。,0
沛公、项羽相与谋曰：今项梁军破，士卒恐。,0
乃与吕臣军俱引兵而东。,1
吕臣军彭城东，项羽军彭城西，沛公军砀。,1
章邯已破项梁军，则以为楚地兵不足忧，乃渡河击赵，大破之。,1
当此时，赵歇为王，陈余为将，张耳为相，皆走入巨鹿城。,1
章邯令王离、涉间围巨鹿，章邯军其南，筑甬道而输之粟。,1
陈余为将，将卒数万人而军巨鹿之北，此所谓河北之军也。,1
楚兵已破于定陶，怀王恐，从盱台之彭城，并项羽、吕臣军自将之。,0
以吕臣为司徒，以其父吕青为令尹。,1
以沛公为砀郡长，封为武安侯，将砀郡兵。,1
初，宋义所遇齐使者高陵君显在楚军，见楚王曰：宋义论武信君之军必败，居数日，军果败。,0
兵未战而先见败征，此可谓知兵矣。,2
王召宋义与计事而大说之，因置以为上将军；项羽为鲁公，为次将，范增为末将，救赵。,2
诸别将皆属宋义，号为卿子冠军。,1
行至安阳，留四十六日不进。,1
项羽曰：吾闻秦军围赵王巨鹿，疾引兵渡河，楚击其外，赵应其内，破秦军必矣。,2
宋义曰：不然。,1
夫搏牛之虻不可以破虮虱。,1
今秦攻赵，战胜则兵罢，我承其敝；不胜，则我引兵鼓行而西，必举秦矣。,2
故不如先斗秦、赵。,1
夫被坚执锐，义不如公；坐而运策，公不如义。,1
因下令军中曰：猛如虎，很如羊，贪如狼，强不可使者，皆斩之。,0
乃遣其子宋襄相齐，身送之至无盐，饮酒高会。,1
天寒大雨，士卒冻饥。,0
项羽曰：将戮力而攻秦，久留不行。,0
今岁饥民贫，士卒食芋菽，军无见粮，乃饮酒高会，不引兵渡河因赵食，与赵并力攻秦，乃曰‘承其敝’。,0
夫以秦之强，攻新造之赵，其势必举赵。,1
赵举而秦强，何敝之承！,0
且国兵新破，王坐不安席，埽境内而专属于将军，国家安危，在此一举。,0
今不恤士卒而徇其私，非社稷之臣。,0
项羽晨朝上将军宋义，即其帐中斩宋义头，出令军中曰：宋义与齐谋反楚，楚王阴令羽诛之。,0
当是时，诸将皆慑服，莫敢枝梧。,0
皆曰：首立楚者，将军家也。,1
今将军诛乱。,0
乃相与共立羽为假上将军。,1
使人追宋义子，及之齐，杀之。,0
使桓楚报命于怀王。,1
怀王因使项羽为上将军，当阳君、蒲将军皆属项羽。,1
项羽已杀卿子冠军，威震楚国，名闻诸侯。,2
乃遣当阳君、蒲将军将卒二万渡河，救巨鹿。,1
战少利，陈余复请兵。,1
项羽乃悉引兵渡河，皆沉船，破釜甑，烧庐舍，持三日粮，以示士卒必死，无一还心。,0
于是至则围王离，与秦军遇，九战，绝其甬道，大破之，杀苏角，虏王离。,1
涉间不降楚，自烧杀。,0
诸将皆从壁上观。,1
楚战士无不一以当十，楚兵呼声动天，诸侯军无不人人惴恐。,0
于是已破秦军，项羽召见诸侯将，入辕门，无不膝行而前，莫敢仰视。,1
项羽由是始为诸侯上将军，诸侯皆属焉。,1
章邯军棘原，项羽军漳南，相持未战。,1
秦军数却，二世使人让章邯。,0
章邯恐，使长史欣请事。,0
至咸阳，留司马门三日，赵高不见，有不信之心。,0
长史欣恐，还走其军，不敢出故道，赵高果使人追之，不及。,0
欣至军，报曰：赵高用事于中，下无可为者。,0
今战能胜，高必疾妒吾功；战不能胜，不免于死。,0
愿将军孰计之。,1
陈余亦遗章邯书曰：白起为秦将，南征鄢郢，北坑马服，攻城略地，不可胜计，而竟赐死。,0
蒙恬为秦将，北逐戎人，开榆中地数千里，竟斩阳周。,0
何者？,1
功多，秦不能尽封，因以法诛之。,0
今将军为秦将三岁矣，所亡失以十万数，而诸侯并起滋益多。,1
彼赵高素谀日久，今事急，亦恐二世诛之，故欲以法诛将军以塞责，使人更代将军以脱其祸。,0
夫将军居外久，多内隙，有功亦诛，无功亦诛。,0
且天之亡秦，无愚智皆知之。,1
今将军内不能直谏，外为亡国将，孤特独立而欲常存，岂不哀哉！,0
将军何不还兵与诸侯为从，约共攻秦，分王其地，南面称孤；此孰与身伏鈇质，妻子为僇乎？,1
章邯狐疑，阴使候始成使项羽，欲约。,1
约未成，项羽使蒲将军日夜引兵度三户，军漳南，与秦战，再破之。,2
项羽悉引兵击秦军污水上，大破之。,1
章邯使人见项羽，欲约。,1
项羽召军吏谋曰：粮少，欲听其约。,1
军吏皆曰：善。,2
项羽乃与期洹水南殷虚上。,1
已盟，章邯见项羽而流涕，为言赵高。,0
项羽乃立章邯为雍王，置楚军中。,1
使长史欣为上将军，将秦军为前行。,1
到新安。,1
诸侯吏卒异时故繇使屯戍过秦中，秦中吏卒遇之多无状，及秦军降诸侯，诸侯吏卒乘胜多奴虏使之，轻折辱秦吏卒。,0
秦吏卒多窃言曰：章将军等诈吾属降诸侯，今能入关破秦，大善；即不能，诸侯虏吾属而东，秦必尽诛吾父母妻子。,0
诸将微闻其计，以告项羽。,1
项羽乃召黥布、蒲将军计曰：秦吏卒尚众，其心不服，至关中不听，事必危，不如击杀之，而独与章邯、长史欣、都尉翳入秦。,0
于是楚军夜击坑秦卒二十余万人新安城南。,0
行略定秦地。,1
函谷关有兵守关，不得入。,1
又闻沛公已破咸阳，项羽大怒，使当阳君等击关。,0
项羽遂入，至于戏西。,1
沛公军霸上，未得与项羽相见。,1
沛公左司马曹无伤使人言于项羽曰：沛公欲王关中，使子婴为相，珍宝尽有之。,1
项羽大怒，曰：旦日飨士卒，为击破沛公军！,0
当是时，项羽兵四十万，在新丰鸿门，沛公兵十万，在霸上。,1
范增说项羽曰：沛公居山东时，贪于财货，好美姬。,0
今入关，财物无所取，妇女无所幸，此其志不在小。,2
吾令人望其气，皆为龙虎，成五采，此天子气也。,1
急击勿失。,1
楚左尹项伯者，项羽季父也，素善留侯张良。,1
张良是时从沛公，项伯乃夜驰之沛公军，私见张良，具告以事，欲呼张良与俱去。,1
曰：毋从俱死也。,0
张良曰：臣为韩王送沛公，沛公今事有急，亡去不义，不可不语。,0
良乃入，具告沛公。,1
沛公大惊，曰：为之奈何？,0
张良曰：谁为大王为此计者？,0
曰：鲰生说我曰‘距关，毋内诸侯，秦地可尽王也’。,1
故听之。,1
良曰：料大王士卒足以当项王乎？,0
沛公默然，曰：固不如也，且为之奈何？,0
张良曰：请往谓项伯，言沛公不敢背项王也。,1
沛公曰：君安与项伯有故？,1
张良曰：秦时与臣游，项伯杀人，臣活之。,1
今事有急，故幸来告良。,1
沛公曰：孰与君少长？,1
良曰：长于臣。,1
沛公曰：君为我呼入，吾得兄事之。,2
张良出，要项伯。,2
项伯即入见沛公。,1
沛公奉卮酒为寿，约为婚姻，曰：吾入关，秋毫不敢有所近，籍吏民，封府库，而待将军。,1
所以遣将守关者，备他盗之出入与非常也。,1
日夜望将军至，岂敢反乎！,1
愿伯具言臣之不敢倍德也。,0
项伯许诺。,1
谓沛公曰：旦日不可不蚤自来谢项王。,0
沛公曰：诺。,1
于是项伯复夜去，至军中，具以沛公言报项王。,1
因言曰：沛公不先破关中，公岂敢入乎？,0
今人有大功而击之，不义也，不如因善遇之。,0
项王许诺。,1
沛公旦日从百余骑来见项王，至鸿门，谢曰：臣与将军戮力而攻秦，将军战河北，臣战河南，然不自意能先入关破秦，得复见将军于此。,1
今者有小人之言，令将军与臣有隙。,0
项王曰：此沛公左司马曹无伤言之；不然，籍何以至此？,0
项王即日因留沛公与饮。,1
项王、项伯东向坐，亚父南向坐。,1
亚父者，范增也。,1
沛公北向坐，张良西向侍。,2
范增数目项王，举所佩玉玦以示之者三，项王默然不应。,1
范增起，出召项庄，谓曰：君王为人不忍，若入前为寿，寿毕，请以剑舞，因击沛公于坐，杀之。,0
不者，若属皆且为所虏。,0
庄则入为寿。,1
寿毕，曰：君王与沛公饮，军中无以为乐，请以剑舞。,1
项王曰：诺。,1
项庄拔剑起舞，项伯亦拔剑起舞，常以身翼蔽沛公，庄不得击。,0
于是张良至军门，见樊哙。,1
樊哙曰：今日之事何如？,1
良曰：甚急。,0
今者项庄拔剑舞，其意常在沛公也。,1
哙曰：此迫矣，臣请入，与之同命。,0
哙即带剑拥盾入军门。,1
